nik,nama,alamat,no_hp,total_simpanan,total_pinjaman,tanggal_daftar,status
6171000000000001,Budi Santoso,Jl. Putri Tunggal No.15, Pontianak, Kalimantan Barat,084332181960,0,0,2024-04-08,aktif
6171000000000031,Feri Irawan,Jl. Imam Bonjol No.27, Sintang, Kalimantan Barat,089957773872,150000,1000000,2024-09-22,aktif
6171000000000032,Desi Natalia,Jl. Putri Tunggal No.80, Ketapang, Kalimantan Barat,081343320037,1250000,0,2024-08-14,aktif
6171000000000033,Rian Kurnia,Jl. Putri Tunggal No.74, Mempawah, Kalimantan Barat,086763201632,1000000,2500000,2024-01-18,aktif
6171000000000034,Vina Oktaviani,Jl. Sungai Raya Dalam No.16, Bengkayang, Kalimantan Barat,082788957986,1000000,2500000,2024-03-24,aktif
6171000000000035,Bayu Saputra,Jl. Tanjungpura No.58, Sambas, Kalimantan Barat,083487347143,400000,1500000,2024-06-18,aktif
6171000000000036,Lilis Handayani,Jl. Ahmad Yani No.18, Singkawang, Kalimantan Barat,083623166587,650000,0,2024-04-27,aktif
6171000000000037,Herman Wijaya,Jl. Merdeka No.50, Sekadau, Kalimantan Barat,080967054668,1000000,750000,2024-08-08,aktif
6171000000000038,Siska Amelia,Jl. Imam Bonjol No.56, Bengkayang, Kalimantan Barat,080656272980,650000,0,2024-02-21,aktif
6171000000000039,Rizal Akbar,Jl. Merdeka No.18, Bengkayang, Kalimantan Barat,082046537556,400000,2000000,2024-05-27,aktif
6171000000000040,Dina Maharani,Jl. Ahmad Yani No.61, Pontianak, Kalimantan Barat,088053100330,1250000,500000,2024-04-05,aktif
6171000000000041,Taufik Hidayat,Jl. Tanjungpura No.86, Sungai Raya, Kubu Raya, Kalimantan Barat,089374529912,400000,0,2024-10-01,aktif
6171000000000042,Yuni Kartika,Jl. Imam Bonjol No.74, Sanggau, Kalimantan Barat,086631931491,1250000,0,2024-06-18,aktif
6171000000000043,Sandi Firmansyah,Jl. Merdeka No.85, Ketapang, Kalimantan Barat,081850671657,250000,2000000,2024-03-24,aktif
6171000000000044,Wulan Sari,Jl. Sultan Abdurrahman No.84, Sambas, Kalimantan Barat,089877694531,400000,2500000,2024-04-25,aktif
6171000000000045,Joko Susanto,Jl. Tanjungpura No.73, Sekadau, Kalimantan Barat,086507527354,500000,1000000,2024-10-23,aktif
6171000000000046,Mira Anggraini,Jl. Imam Bonjol No.72, Pontianak, Kalimantan Barat,088313678377,750000,0,2024-02-10,aktif
6171000000000047,Andika Pratama,Jl. Sungai Raya Dalam No.52, Kapuas Hulu, Kalimantan Barat,083495788568,500000,1500000,2024-12-15,aktif
6171000000000048,Fitri Handayani,Jl. Imam Bonjol No.40, Sambas, Kalimantan Barat,083135182337,400000,3000000,2024-10-10,aktif
6171000000000049,Rendra Saputra,Jl. Ahmad Yani No.25, Sambas, Kalimantan Barat,083524082400,1000000,1000000,2024-12-05,aktif
6171000000000050,Nisa Rahmawati,Jl. Putri Tunggal No.97, Bengkayang, Kalimantan Barat,081094777520,400000,2500000,2024-02-27,aktif
